Start Date,Start Hour,holiday_ind,Weekend,Prev_value,Energy_per_hour
1/8/2019,16,0,0,9.539072921,3.85
1/8/2019,17,0,0,12.15062731,14.66777353
1/8/2019,18,0,0,6.778846154,18.26141426
1/8/2019,19,0,0,3.833263158,8.851390374
1/8/2019,21,0,0,6.428168067,5.554015748
1/8/2019,22,0,0,6.71028169,6.898481013
1/9/2019,5,0,0,6.81876,6.993
1/9/2019,6,0,0,3.522857143,5.128235294
1/9/2019,7,0,0,3.184,6.521538462
1/9/2019,8,0,0,21.89355198,9.329404251
1/9/2019,9,0,0,3.566571429,10.5657305
1/9/2019,10,0,0,5.563249438,6.175395683
1/9/2019,12,0,0,6.54971831,8.889146341
1/9/2019,13,0,0,21.70720529,16.88199247
1/9/2019,14,0,0,7.153366633,4.999105339
1/9/2019,15,0,0,13.97102934,6.518135593
1/9/2019,16,0,0,3.85,4.843874394
1/9/2019,18,0,0,18.26141426,14.12106851
1/9/2019,19,0,0,8.851390374,13.56993145
1/9/2019,22,0,0,6.898481013,6.944042553
1/10/2019,8,0,0,9.329404251,21.3508375
1/10/2019,9,0,0,10.5657305,10.07327752
1/10/2019,11,0,0,3.473181818,15.74538852
1/10/2019,12,0,0,8.889146341,16.52055486
1/10/2019,13,0,0,16.88199247,3.841481481
1/10/2019,15,0,0,6.518135593,12.66551682
1/10/2019,17,0,0,14.66777353,9.881624725
1/10/2019,18,0,0,14.12106851,9.234929972
1/10/2019,21,0,0,5.554015748,10.94247559
1/11/2019,4,0,0,1.3,6.232394366
1/11/2019,5,0,0,6.993,6.59492786
1/11/2019,6,0,0,5.128235294,3.736
1/11/2019,7,0,0,6.521538462,6.331278603
1/11/2019,8,0,0,21.3508375,10.92301975
1/11/2019,9,0,0,10.07327752,3.308930233
1/11/2019,10,0,0,6.175395683,6.972808989
1/11/2019,11,0,0,15.74538852,11.52735942
1/11/2019,12,0,0,16.52055486,3.554042553
1/11/2019,13,0,0,3.841481481,6.281236247
1/11/2019,14,0,0,4.999105339,3.185948276
1/11/2019,15,0,0,12.66551682,16.2561825
1/11/2019,16,0,0,4.843874394,20.68028743
1/11/2019,17,0,0,9.881624725,3.2408867
1/11/2019,18,0,0,9.234929972,4.077327935
1/11/2019,19,0,0,13.56993145,14.59976136
1/11/2019,22,0,0,6.944042553,3.123
1/12/2019,8,0,1,10.92301975,3.9965625
1/12/2019,9,0,1,3.308930233,11.96661624
1/12/2019,11,0,1,11.52735942,13.53976906
1/12/2019,12,0,1,3.554042553,9.904224946
1/12/2019,13,0,1,6.281236247,13.75914286
1/12/2019,14,0,1,3.185948276,7.195862069
